Name of Borough,Name of Center,Center Address,Postcode,Telephone Number,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA,Borough
Bronx,Bronx-Lebanon Hospital Center,"1276 Fulton Avenue, Suite 401-402",10456,(718) 466-6072,40.831721,-73.903756,3,16,149,2004246,2026120007,Morrisania-Melrose                                                         ,Bronx
Bronx,Comprehensive Family Care Center,1265 Franklin Avenue,10456,(718) 579-2500 ,40.831025,-73.902698,3,16,149,2004246,2026120007,Morrisania-Melrose                                                         ,Bronx
Bronx,Dr. Martin Luther King Jr. Health Center,(Montefiore) 1621 Eastchester Road,10461,(718) 503-7714 ,,,,,,,,,Bronx
Bronx,Montefiore Family Health Center,360 East 193rd Street,10458, (718) 933-2400,40.863191,-73.891056,7,15,39901,2016318,2032750040,Bedford Park-Fordham North                                                 ,Bronx
Bronx,Montefiore Medical Group Comprehensive HCC,305 East 161st Street,10451,(718) 579-2597 ,40.825265,-73.917445,4,17,173,2115808,2024210045,East Concourse-Concourse Village                                           ,Bronx
Bronx,Morris Heights Health Center,Morris Heights Health Center,10453,(718) 716-4400 ,,,,,,,,,Bronx
Bronx,Soundview Health Center,731 White Plains Road,10473,(718) 589-2232 ,40.821254,-73.858098,9,18,16,2092716,2036000004,Soundview-Castle Hill-Clason Point-Harding Park                            ,Bronx
Bronx,Urban Health Plan,1065 Southern Boulevard,10459, (718) 991-4833,40.825276,-73.891935,2,17,12701,2114609,2027270058,Hunts Point                                                                ,Bronx
Brooklyn,Bedford/Stuyvesant Family Health Center,1413 Fulton Street,11216,(718) 636-4500,40.680141,-73.94478,3,36,269,3053469,3018540052,Bedford                                                                    ,Brooklyn
Brooklyn,Brooklyn Plaza Medical Center,650 Fulton Street,11217,(718) 596-9896,40.686819,-73.975701,2,35,35,3059247,3021130022,Fort Greene                                                                ,Brooklyn
Brooklyn,Brownsville Multi-Service Family Health Center,592 Rockaway Avenue,11212,(718) 345-5000 ,40.66552,-73.90968,16,41,924,3081790,3035600026,Brownsville                                                                ,Brooklyn
Brooklyn,Community Health Care Network - CABS Health Center,94-98 Manhattan Ave.,11206,(718) 388-0390,40.70552,-73.94464,1,34,505,3071335,3030790006,East Williamsburg                                                          ,Brooklyn
Brooklyn,Community Health Care Network ,Caribbean House Health Center,11225,(718) 778-0198 ,,,,,,,,,Brooklyn
Brooklyn,Community Health Care Network ,Dr. Betty Shabazz Health Center,11208,(718) 277-8303 ,,,,,,,,,Brooklyn
Brooklyn,Ezra Medical Center,571 McDonald Avenue,11213,(718) 686-7600 ,40.639923,-73.978983,12,39,486,3126000,3053700089,Kensington-Ocean Parkway                                                   ,Brooklyn
Brooklyn,ODA Primary Care Health Center,14-16 Heyward Street,11211,(718) 260-4600 ,40.699929,-73.958822,1,33,537,3061077,3022300004,Williamsburg                                                               ,Brooklyn
Brooklyn,Sunset Park Family Health Center,150 55th Street,11220,(718) 630-7095 ,40.646941,-74.02093,7,38,22,3014856,3008280001,Sunset Park West                                                           ,Brooklyn
Brooklyn,Sunset Park Family Health Center,9711 Third Avenue,11209,(718) 759-9126 ,40.615612,-74.034258,10,43,5601,3155833,3061260007,Bay Ridge                                                                  ,Brooklyn
Brooklyn,Sunset Park Family Health Center Brooklyn-Chinese Family Health Center,812 54th Street,11220,(718) 686-2680 ,40.638557,-74.005531,12,38,106,3139119,3056720011,Sunset Park East                                                           ,Brooklyn
Brooklyn,Sunset Park Family Health Center Caribbean-American Family Health Center,3414 Church Avenue,12203,(718) 940-9425 ,,,,,,,,,Brooklyn
